"client_id","gender","age","membership_duration","visit_count","fitness_category_count","total_visit_cost","fitness_category_crossfit","fitness_category_goboxing","fitness_category_АКАДЕМИЯ_ИЛЬИНА","fitness_category_ВОСТОЧНЫЕ_ЕДИНОБОРСТВА","fitness_category_ГРУППОВЫЕ_ПРОГРАММЫ","fitness_category_ДЕТСКИЙ_КЛУБ","fitness_category_ТРЕНАЖЕРНЫЙ_ЗАЛ","fitness_category_СТУДИЯ_ЙОГИ_ШАКТИ","fitness_category_ВОДНЫЕ_ПРОГРАММЫ"
105,"0","8","1650.0000000000000000","0","1","0",0,0,0,0,0,0,0,0,0
107,"0","4","1891.2500000000000000","0","1","0",0,0,0,0,0,0,0,0,0
108,"0","49","876.5000000000000000","72","4","43713900.00",0,1,0,0,1,0,1,0,1
109,"0","37","156.0000000000000000","0","2","0",0,0,0,0,0,0,0,0,0
110,"0","49","977.5000000000000000","56","2","61800200.00",0,1,0,0,0,0,1,0,0
111,"0","30","150.0000000000000000","0","3","0",0,0,0,0,0,0,0,0,0
112,"1","5","365.2500000000000000","26","2","2878200.00",0,0,0,0,0,1,0,0,1
113,"0","31","490.2500000000000000","44","2","30373200.00",1,0,0,0,0,0,1,0,0
115,"1","19","1173.7500000000000000","156","4","49167300.00",0,0,0,1,1,0,1,1,0
116,"0","38","162.0000000000000000","34","2","37521550.00",0,1,0,0,0,0,1,0,0
117,"0","24","1671.0000000000000000","18","1","17897400.00",0,0,0,0,0,0,1,0,0
118,"1","32","730.5000000000000000","0","3","0",0,0,0,0,0,0,0,0,0
119,"1","6","1539.0000000000000000","38","2","4206600.00",0,0,0,0,0,1,0,0,1
120,"0","24","1486.0000000000000000","120","3","60344000.00",1,0,0,1,0,0,1,0,0
122,"1","34","730.5000000000000000","78","3","29450200.00",0,0,0,0,1,0,1,1,0
124,"1","37","1509.0000000000000000","48","3","18123200.00",0,0,0,0,1,0,1,1,0
125,"0","4","1281.7500000000000000","20","2","2214000.00",0,0,0,0,0,1,0,0,1
126,"1","21","177.0000000000000000","66","3","24919400.00",0,0,0,0,1,0,1,1,0
127,"0","46","1186.7500000000000000","42","2","46350150.00",0,1,0,0,0,0,1,0,0
128,"0","23","1002.5000000000000000","54","2","59593050.00",0,1,0,0,0,0,1,0,0
129,"1","21","840.5000000000000000","132","4","41603100.00",0,0,0,1,1,0,1,1,0
130,"1","24","116.0000000000000000","165","5","57433200.00",1,0,0,0,1,0,1,1,1
131,"0","58","343.0000000000000000","81","3","65570850.00",0,1,0,0,0,0,1,0,1
132,"0","41","177.0000000000000000","36","2","39728700.00",0,1,0,0,0,0,1,0,0
133,"1","10","1731.0000000000000000","36","2","3985200.00",0,0,0,0,0,1,0,0,1
134,"1","12","1723.0000000000000000","0","1","0",0,0,0,0,0,0,0,0,0
135,"0","30","730.5000000000000000","32","2","22089600.00",1,0,0,0,0,0,1,0,0
136,"0","24","1248.7500000000000000","120","4","84445500.00",1,1,0,0,0,0,1,0,1
139,"0","24","1262.7500000000000000","135","3","116705250.00",1,1,0,0,0,0,1,0,0
140,"0","31","365.2500000000000000","96","3","82990400.00",1,1,0,0,0,0,1,0,0
141,"1","29","375.2500000000000000","104","4","60984300.00",0,1,0,0,1,0,1,1,0
143,"0","11","365.2500000000000000","20","2","2214000.00",0,0,0,0,0,1,0,0,1
144,"1","8","365.2500000000000000","0","1","0",0,0,0,0,0,0,0,0,0
146,"0","19","365.2500000000000000","50","2","55178750.00",0,1,0,0,0,0,1,0,0
147,"0","11","365.2500000000000000","32","2","3542400.00",0,0,0,0,0,1,0,0,1
148,"0","29","354.0000000000000000","50","2","34515000.00",1,0,0,0,0,0,1,0,0
149,"0","37","730.5000000000000000","54","2","59593050.00",0,1,0,0,0,0,1,0,0
150,"1","9","1627.0000000000000000","20","2","2214000.00",0,0,0,0,0,1,0,0,1
151,"1","17","325.0000000000000000","16","1","15908800.00",0,0,0,0,0,0,1,0,0
152,"1","33","365.2500000000000000","63","3","23786700.00",0,0,0,0,1,0,1,1,0
153,"0","48","1052.5000000000000000","34","2","37521550.00",0,1,0,0,0,0,1,0,0
154,"0","26","678.2500000000000000","44","2","48557300.00",0,1,0,0,0,0,1,0,0
155,"1","34","929.5000000000000000","99","3","50127000.00",1,0,0,0,0,0,1,1,0
157,"1","58","676.2500000000000000","102","3","79748700.00",0,1,0,0,0,0,1,1,0
159,"1","6","1142.7500000000000000","32","2","3542400.00",0,0,0,0,0,1,0,0,1
160,"1","34","1814.0000000000000000","57","3","21521300.00",0,0,0,0,1,0,1,1,0
163,"1","14","365.2500000000000000","32","2","3542400.00",0,0,0,0,0,1,0,0,1
164,"0","29","1470.0000000000000000","46","2","50764450.00",0,1,0,0,0,0,1,0,0
165,"0","29","365.2500000000000000","12","1","11931600.00",0,0,0,0,0,0,1,0,0
166,"0","4","879.5000000000000000","34","2","3763800.00",0,0,0,0,0,1,0,0,1
167,"0","35","358.0000000000000000","102","3","79395100.00",0,1,0,1,0,0,1,0,0
168,"0","24","1759.0000000000000000","42","2","46350150.00",0,1,0,0,0,0,1,0,0
169,"0","6","1632.0000000000000000","0","2","0",0,0,0,0,0,0,0,0,0
170,"1","31","1580.0000000000000000","50","2","28317500.00",0,0,0,0,0,0,1,1,0
171,"0","10","365.2500000000000000","28","2","3099600.00",0,0,0,0,0,1,0,0,1
172,"0","19","1374.7500000000000000","60","3","48571000.00",0,1,0,0,0,0,1,0,1
173,"0","31","365.2500000000000000","12","1","11931600.00",0,0,0,0,0,0,1,0,0
174,"0","31","715.2500000000000000","105","3","90770750.00",1,1,0,0,0,0,1,0,0
175,"0","13","355.0000000000000000","22","2","2435400.00",0,0,0,0,0,1,0,0,1
176,"1","8","730.5000000000000000","0","1","0",0,0,0,0,0,0,0,0,0
177,"0","20","912.5000000000000000","56","2","61800200.00",0,1,0,0,0,0,1,0,0
178,"0","8","509.2500000000000000","0","1","0",0,0,0,0,0,0,0,0,0
179,"1","38","369.2500000000000000","51","3","19255900.00",0,0,0,0,1,0,1,1,0
180,"1","12","33.0000000000000000","32","2","3542400.00",0,0,0,0,0,1,0,0,1
181,"1","34","341.0000000000000000","75","3","28317500.00",0,0,0,0,1,0,1,1,0
184,"1","8","1201.7500000000000000","0","1","0",0,0,0,0,0,0,0,0,0
185,"0","6","365.2500000000000000","0","1","0",0,0,0,0,0,0,0,0,0
186,"0","23","365.2500000000000000","0","2","0",0,0,0,0,0,0,0,0,0
187,"1","18","1562.0000000000000000","84","3","65384200.00",0,1,0,1,0,0,1,0,0
188,"1","32","724.2500000000000000","144","4","84439800.00",0,1,0,0,1,0,1,1,0
189,"0","31","319.0000000000000000","12","1","11931600.00",0,0,0,0,0,0,1,0,0
190,"0","30","679.2500000000000000","105","3","90770750.00",1,1,0,0,0,0,1,0,0
191,"0","31","209.0000000000000000","20","2","12157000.00",0,0,0,0,0,0,1,0,1
192,"1","25","676.2500000000000000","96","4","36456000.00",1,0,0,0,1,0,1,1,0
193,"0","34","1519.0000000000000000","64","2","70628800.00",0,1,0,0,0,0,1,0,0
194,"1","31","1077.5000000000000000","128","4","48608000.00",1,0,0,0,1,0,1,1,0
196,"0","21","1959.2500000000000000","48","2","52971600.00",0,1,0,0,0,0,1,0,0
197,"0","13","1070.5000000000000000","0","1","0",0,0,0,0,0,0,0,0,0
